Features;NSHAP-Value
age:55.00,hyperlipidemia:No,coronary.artery.disease:No,chronic.kidney.disease:No;0.0018
age:55.00,hyperlipidemia:No,coronary.artery.disease:No,asthma:No;0.0012
age:55.00,hyperlipidemia:No,coronary.artery.disease:No,copd:No;0.0003
age:55.00,hyperlipidemia:No,coronary.artery.disease:No,dementia:No;0.0017
age:55.00,hyperlipidemia:No,coronary.artery.disease:No,cancer:No;0.0024
age:55.00,hyperlipidemia:No,chf:No,cerebrovascular.disease:No;-0.0012
age:55.00,hyperlipidemia:No,chf:No,hepatitis:No;False
age:55.00,hyperlipidemia:No,chf:No,endstage:55.00.renal.disease;-0.0003
age:55.00,hyperlipidemia:No,chf:No,chronic.kidney.disease:No;-0.0001
age:55.00,hyperlipidemia:No,chf:No,asthma:No;-0.0003
age:55.00,hyperlipidemia:No,chf:No,copd:No;-0.0016
age:55.00,hyperlipidemia:No,chf:No,dementia:No;-0.0002
age:55.00,hyperlipidemia:No,chf:No,cancer:No;False
age:55.00,hyperlipidemia:No,cerebrovascular.disease:No,hepatitis:No;False
age:55.00,hyperlipidemia:No,cerebrovascular.disease:No,endstage:55.00.renal.disease;False
age:55.00,hyperlipidemia:No,cerebrovascular.disease:No,chronic.kidney.disease:No;0.0002
age:55.00,hyperlipidemia:No,cerebrovascular.disease:No,asthma:No;-0.0001
age:55.00,hyperlipidemia:No,cerebrovascular.disease:No,copd:No;-0.0003
age:55.00,hyperlipidemia:No,cerebrovascular.disease:No,dementia:No;0.0005
age:55.00,hyperlipidemia:No,cerebrovascular.disease:No,cancer:No;False
age:55.00,hyperlipidemia:No,hepatitis:No,endstage:55.00.renal.disease;False
age:55.00,hyperlipidemia:No,hepatitis:No,chronic.kidney.disease:No;0.0001
age:55.00,hyperlipidemia:No,hepatitis:No,asthma:No;False
age:55.00,hyperlipidemia:No,hepatitis:No,copd:No;False
age:55.00,hyperlipidemia:No,hepatitis:No,dementia:No;False
age:55.00,hyperlipidemia:No,hepatitis:No,cancer:No;False
age:55.00,hyperlipidemia:No,endstage:55.00.renal.disease,chronic.kidney.disease:No;0.0002
age:55.00,hyperlipidemia:No,endstage:55.00.renal.disease,asthma:No;False
age:55.00,hyperlipidemia:No,endstage:55.00.renal.disease,copd:No;False
age:55.00,hyperlipidemia:No,endstage:55.00.renal.disease,dementia:No;-0.0001
age:55.00,hyperlipidemia:No,endstage:55.00.renal.disease,cancer:No;0.0001
age:55.00,hyperlipidemia:No,chronic.kidney.disease:No,asthma:No;0.0001
age:55.00,hyperlipidemia:No,chronic.kidney.disease:No,copd:No;0.0001
age:55.00,hyperlipidemia:No,chronic.kidney.disease:No,dementia:No;0.0001
age:55.00,hyperlipidemia:No,chronic.kidney.disease:No,cancer:No;0.0005
age:55.00,hyperlipidemia:No,asthma:No,copd:No;-0.0002
age:55.00,hyperlipidemia:No,asthma:No,dementia:No;False
age:55.00,hyperlipidemia:No,asthma:No,cancer:No;False
age:55.00,hyperlipidemia:No,copd:No,dementia:No;-0.0001
age:55.00,hyperlipidemia:No,copd:No,cancer:No;-0.0002
age:55.00,hyperlipidemia:No,dementia:No,cancer:No;0.0006
age:55.00,diabetes:Yes,coronary.artery.disease:No,chf:No;0.007
age:55.00,diabetes:Yes,coronary.artery.disease:No,cerebrovascular.disease:No;-0.0006
age:55.00,diabetes:Yes,coronary.artery.disease:No,hepatitis:No;False
age:55.00,diabetes:Yes,coronary.artery.disease:No,endstage:55.00.renal.disease;0.0002
age:55.00,diabetes:Yes,coronary.artery.disease:No,chronic.kidney.disease:No;0.0001
age:55.00,diabetes:Yes,coronary.artery.disease:No,asthma:No;0.0005
age:55.00,diabetes:Yes,coronary.artery.disease:No,copd:No;0.002
age:55.00,diabetes:Yes,coronary.artery.disease:No,dementia:No;0.0023
age:55.00,diabetes:Yes,coronary.artery.disease:No,cancer:No;0.0006
age:55.00,diabetes:Yes,chf:No,cerebrovascular.disease:No;0.0001
age:55.00,diabetes:Yes,chf:No,hepatitis:No;0.0001
age:55.00,diabetes:Yes,chf:No,endstage:55.00.renal.disease;0.0002
age:55.00,diabetes:Yes,chf:No,chronic.kidney.disease:No;0.0005
age:55.00,diabetes:Yes,chf:No,asthma:No;0.0008
age:55.00,diabetes:Yes,chf:No,copd:No;0.0011
age:55.00,diabetes:Yes,chf:No,dementia:No;0.0005
age:55.00,diabetes:Yes,chf:No,cancer:No;-0.0001
age:55.00,diabetes:Yes,cerebrovascular.disease:No,hepatitis:No;0.0001
age:55.00,diabetes:Yes,cerebrovascular.disease:No,endstage:55.00.renal.disease;0.0001
age:55.00,diabetes:Yes,cerebrovascular.disease:No,chronic.kidney.disease:No;-0.0001
age:55.00,diabetes:Yes,cerebrovascular.disease:No,asthma:No;0.0001
age:55.00,diabetes:Yes,cerebrovascular.disease:No,copd:No;0.0002
age:55.00,diabetes:Yes,cerebrovascular.disease:No,dementia:No;0.0002
age:55.00,diabetes:Yes,cerebrovascular.disease:No,cancer:No;-0.0001
age:55.00,diabetes:Yes,hepatitis:No,endstage:55.00.renal.disease;0.0002
age:55.00,diabetes:Yes,hepatitis:No,chronic.kidney.disease:No;False
age:55.00,diabetes:Yes,hepatitis:No,asthma:No;False
age:55.00,diabetes:Yes,hepatitis:No,copd:No;0.0001
age:55.00,diabetes:Yes,hepatitis:No,dementia:No;False
age:55.00,diabetes:Yes,hepatitis:No,cancer:No;0.0001
age:55.00,diabetes:Yes,endstage:55.00.renal.disease,chronic.kidney.disease:No;0.0002
age:55.00,diabetes:Yes,endstage:55.00.renal.disease,asthma:No;False
age:55.00,diabetes:Yes,endstage:55.00.renal.disease,copd:No;0.0002
age:55.00,diabetes:Yes,endstage:55.00.renal.disease,dementia:No;False
age:55.00,diabetes:Yes,endstage:55.00.renal.disease,cancer:No;0.0001
age:55.00,diabetes:Yes,chronic.kidney.disease:No,asthma:No;False
age:55.00,diabetes:Yes,chronic.kidney.disease:No,copd:No;False
age:55.00,diabetes:Yes,chronic.kidney.disease:No,dementia:No;0.0001
age:55.00,diabetes:Yes,chronic.kidney.disease:No,cancer:No;0.0001
age:55.00,diabetes:Yes,asthma:No,copd:No;0.0004
age:55.00,diabetes:Yes,asthma:No,dementia:No;0.0001
age:55.00,diabetes:Yes,asthma:No,cancer:No;False
age:55.00,diabetes:Yes,copd:No,dementia:No;0.0003
age:55.00,diabetes:Yes,copd:No,cancer:No;-0.0001
age:55.00,diabetes:Yes,dementia:No,cancer:No;0.0002
age:55.00,coronary.artery.disease:No,chf:No,cerebrovascular.disease:No;0.0005
age:55.00,coronary.artery.disease:No,chf:No,hepatitis:No;0.0002
age:55.00,coronary.artery.disease:No,chf:No,endstage:55.00.renal.disease;0.0009
age:55.00,coronary.artery.disease:No,chf:No,chronic.kidney.disease:No;-0.0001
age:55.00,coronary.artery.disease:No,chf:No,asthma:No;0.0011
age:55.00,coronary.artery.disease:No,chf:No,copd:No;-0.0004
age:55.00,coronary.artery.disease:No,chf:No,dementia:No;0.0023
age:55.00,coronary.artery.disease:No,chf:No,cancer:No;0.0004
age:55.00,coronary.artery.disease:No,cerebrovascular.disease:No,hepatitis:No;False
age:55.00,coronary.artery.disease:No,cerebrovascular.disease:No,endstage:55.00.renal.disease;0.0002
age:55.00,coronary.artery.disease:No,cerebrovascular.disease:No,chronic.kidney.disease:No;-0.0002
age:55.00,coronary.artery.disease:No,cerebrovascular.disease:No,asthma:No;0.0002
age:55.00,coronary.artery.disease:No,cerebrovascular.disease:No,copd:No;-0.0001
age:55.00,coronary.artery.disease:No,cerebrovascular.disease:No,dementia:No;0.0003
age:55.00,coronary.artery.disease:No,cerebrovascular.disease:No,cancer:No;0.0002
age:55.00,coronary.artery.disease:No,hepatitis:No,endstage:55.00.renal.disease;False
age:55.00,coronary.artery.disease:No,hepatitis:No,chronic.kidney.disease:No;False
age:55.00,coronary.artery.disease:No,hepatitis:No,asthma:No;False
age:55.00,coronary.artery.disease:No,hepatitis:No,copd:No;False
age:55.00,coronary.artery.disease:No,hepatitis:No,dementia:No;False
age:55.00,coronary.artery.disease:No,hepatitis:No,cancer:No;0.0001
age:55.00,coronary.artery.disease:No,endstage:55.00.renal.disease,chronic.kidney.disease:No;0.0004
age:55.00,coronary.artery.disease:No,endstage:55.00.renal.disease,asthma:No;False
age:55.00,coronary.artery.disease:No,endstage:55.00.renal.disease,copd:No;False
age:55.00,coronary.artery.disease:No,endstage:55.00.renal.disease,dementia:No;0.0001
age:55.00,coronary.artery.disease:No,endstage:55.00.renal.disease,cancer:No;False
age:55.00,coronary.artery.disease:No,chronic.kidney.disease:No,asthma:No;False
age:55.00,coronary.artery.disease:No,chronic.kidney.disease:No,copd:No;-0.0001
age:55.00,coronary.artery.disease:No,chronic.kidney.disease:No,dementia:No;0.0001
age:55.00,coronary.artery.disease:No,chronic.kidney.disease:No,cancer:No;0.0001
age:55.00,coronary.artery.disease:No,asthma:No,copd:No;-0.0009
age:55.00,coronary.artery.disease:No,asthma:No,dementia:No;0.0002
age:55.00,coronary.artery.disease:No,asthma:No,cancer:No;False
age:55.00,coronary.artery.disease:No,copd:No,dementia:No;0.0001
age:55.00,coronary.artery.disease:No,copd:No,cancer:No;False
age:55.00,coronary.artery.disease:No,dementia:No,cancer:No;0.0009
age:55.00,chf:No,cerebrovascular.disease:No,hepatitis:No;False
age:55.00,chf:No,cerebrovascular.disease:No,endstage:55.00.renal.disease;False
age:55.00,chf:No,cerebrovascular.disease:No,chronic.kidney.disease:No;0.0001
age:55.00,chf:No,cerebrovascular.disease:No,asthma:No;False
age:55.00,chf:No,cerebrovascular.disease:No,copd:No;-0.0001
age:55.00,chf:No,cerebrovascular.disease:No,dementia:No;0.0004
age:55.00,chf:No,cerebrovascular.disease:No,cancer:No;False
age:55.00,chf:No,hepatitis:No,endstage:55.00.renal.disease;False
age:55.00,chf:No,hepatitis:No,chronic.kidney.disease:No;False
age:55.00,chf:No,hepatitis:No,asthma:No;0.0002
age:55.00,chf:No,hepatitis:No,copd:No;False
age:55.00,chf:No,hepatitis:No,dementia:No;False
age:55.00,chf:No,hepatitis:No,cancer:No;False
age:55.00,chf:No,endstage:55.00.renal.disease,chronic.kidney.disease:No;0.0007
age:55.00,chf:No,endstage:55.00.renal.disease,asthma:No;False
age:55.00,chf:No,endstage:55.00.renal.disease,copd:No;-0.0001
age:55.00,chf:No,endstage:55.00.renal.disease,dementia:No;0.0001
age:55.00,chf:No,endstage:55.00.renal.disease,cancer:No;False
age:55.00,chf:No,chronic.kidney.disease:No,asthma:No;0.0002
age:55.00,chf:No,chronic.kidney.disease:No,copd:No;0.0002
age:55.00,chf:No,chronic.kidney.disease:No,dementia:No;0.0003
age:55.00,chf:No,chronic.kidney.disease:No,cancer:No;0.0003
age:55.00,chf:No,asthma:No,copd:No;-0.0004
age:55.00,chf:No,asthma:No,dementia:No;0.0001
age:55.00,chf:No,asthma:No,cancer:No;0.0002
age:55.00,chf:No,copd:No,dementia:No;0.0002
age:55.00,chf:No,copd:No,cancer:No;0.0001
age:55.00,chf:No,dementia:No,cancer:No;0.0006
age:55.00,cerebrovascular.disease:No,hepatitis:No,endstage:55.00.renal.disease;False
age:55.00,cerebrovascular.disease:No,hepatitis:No,chronic.kidney.disease:No;False
age:55.00,cerebrovascular.disease:No,hepatitis:No,asthma:No;False
age:55.00,cerebrovascular.disease:No,hepatitis:No,copd:No;False
age:55.00,cerebrovascular.disease:No,hepatitis:No,dementia:No;False
age:55.00,cerebrovascular.disease:No,hepatitis:No,cancer:No;False
age:55.00,cerebrovascular.disease:No,endstage:55.00.renal.disease,chronic.kidney.disease:No;0.0001
age:55.00,cerebrovascular.disease:No,endstage:55.00.renal.disease,asthma:No;False
age:55.00,cerebrovascular.disease:No,endstage:55.00.renal.disease,copd:No;False
age:55.00,cerebrovascular.disease:No,endstage:55.00.renal.disease,dementia:No;False
age:55.00,cerebrovascular.disease:No,endstage:55.00.renal.disease,cancer:No;False
age:55.00,cerebrovascular.disease:No,chronic.kidney.disease:No,asthma:No;False
age:55.00,cerebrovascular.disease:No,chronic.kidney.disease:No,copd:No;False
age:55.00,cerebrovascular.disease:No,chronic.kidney.disease:No,dementia:No;False
age:55.00,cerebrovascular.disease:No,chronic.kidney.disease:No,cancer:No;False
age:55.00,cerebrovascular.disease:No,asthma:No,copd:No;False
age:55.00,cerebrovascular.disease:No,asthma:No,dementia:No;False
age:55.00,cerebrovascular.disease:No,asthma:No,cancer:No;False
age:55.00,cerebrovascular.disease:No,copd:No,dementia:No;False
age:55.00,cerebrovascular.disease:No,copd:No,cancer:No;False
age:55.00,cerebrovascular.disease:No,dementia:No,cancer:No;0.0002
age:55.00,hepatitis:No,endstage:55.00.renal.disease,chronic.kidney.disease:No;False
age:55.00,hepatitis:No,endstage:55.00.renal.disease,asthma:No;False
age:55.00,hepatitis:No,endstage:55.00.renal.disease,copd:No;False
age:55.00,hepatitis:No,endstage:55.00.renal.disease,dementia:No;False
age:55.00,hepatitis:No,endstage:55.00.renal.disease,cancer:No;False
age:55.00,hepatitis:No,chronic.kidney.disease:No,asthma:No;False
age:55.00,hepatitis:No,chronic.kidney.disease:No,copd:No;False
age:55.00,hepatitis:No,chronic.kidney.disease:No,dementia:No;False
age:55.00,hepatitis:No,chronic.kidney.disease:No,cancer:No;False
age:55.00,hepatitis:No,asthma:No,copd:No;False
age:55.00,hepatitis:No,asthma:No,dementia:No;False
age:55.00,hepatitis:No,asthma:No,cancer:No;False
age:55.00,hepatitis:No,copd:No,dementia:No;False
age:55.00,hepatitis:No,copd:No,cancer:No;False
age:55.00,hepatitis:No,dementia:No,cancer:No;False
age:55.00,endstage:55.00.renal.disease,chronic.kidney.disease:No,asthma:No;False
age:55.00,endstage:55.00.renal.disease,chronic.kidney.disease:No,copd:No;0.0001
age:55.00,endstage:55.00.renal.disease,chronic.kidney.disease:No,dementia:No;False
age:55.00,endstage:55.00.renal.disease,chronic.kidney.disease:No,cancer:No;False
age:55.00,endstage:55.00.renal.disease,asthma:No,copd:No;False
age:55.00,endstage:55.00.renal.disease,asthma:No,dementia:No;False
age:55.00,endstage:55.00.renal.disease,asthma:No,cancer:No;False
age:55.00,endstage:55.00.renal.disease,copd:No,dementia:No;False
age:55.00,endstage:55.00.renal.disease,copd:No,cancer:No;False
age:55.00,endstage:55.00.renal.disease,dementia:No,cancer:No;0.0001
age:55.00,chronic.kidney.disease:No,asthma:No,copd:No;-0.0001
age:55.00,chronic.kidney.disease:No,asthma:No,dementia:No;False
age:55.00,chronic.kidney.disease:No,asthma:No,cancer:No;False
age:55.00,chronic.kidney.disease:No,copd:No,dementia:No;False
age:55.00,chronic.kidney.disease:No,copd:No,cancer:No;False
age:55.00,chronic.kidney.disease:No,dementia:No,cancer:No;0.0001
age:55.00,asthma:No,copd:No,dementia:No;False
age:55.00,asthma:No,copd:No,cancer:No;-0.0002
age:55.00,asthma:No,dementia:No,cancer:No;False
age:55.00,copd:No,dementia:No,cancer:No;False
race:black,sex:male,hypertension:Yes,hyperlipidemia:No;-0.001
race:black,sex:male,hypertension:Yes,diabetes:Yes;-0.0087
race:black,sex:male,hypertension:Yes,coronary.artery.disease:No;0.0058
race:black,sex:male,hypertension:Yes,chf:No;-0.0025
race:black,sex:male,hypertension:Yes,cerebrovascular.disease:No;False
race:black,sex:male,hypertension:Yes,hepatitis:No;-0.0001
race:black,sex:male,hypertension:Yes,endstage:55.00.renal.disease;-0.0005
race:black,sex:male,hypertension:Yes,chronic.kidney.disease:No;0.0001
race:black,sex:male,hypertension:Yes,asthma:No;-0.0016
race:black,sex:male,hypertension:Yes,copd:No;-0.0001
race:black,sex:male,hypertension:Yes,dementia:No;0.0002
race:black,sex:male,hypertension:Yes,cancer:No;-0.0026
race:black,sex:male,hyperlipidemia:No,diabetes:Yes;-0.0033
race:black,sex:male,hyperlipidemia:No,coronary.artery.disease:No;0.0069
race:black,sex:male,hyperlipidemia:No,chf:No;0.0015
race:black,sex:male,hyperlipidemia:No,cerebrovascular.disease:No;0.0001
race:black,sex:male,hyperlipidemia:No,hepatitis:No;False
race:black,sex:male,hyperlipidemia:No,endstage:55.00.renal.disease;-0.0002
race:black,sex:male,hyperlipidemia:No,chronic.kidney.disease:No;0.0002
race:black,sex:male,hyperlipidemia:No,asthma:No;-0.0001
race:black,sex:male,hyperlipidemia:No,copd:No;-0.0001
race:black,sex:male,hyperlipidemia:No,dementia:No;0.0019
race:black,sex:male,hyperlipidemia:No,cancer:No;-0.0003
race:black,sex:male,diabetes:Yes,coronary.artery.disease:No;0.0001
race:black,sex:male,diabetes:Yes,chf:No;0.0024
race:black,sex:male,diabetes:Yes,cerebrovascular.disease:No;0.0007
race:black,sex:male,diabetes:Yes,hepatitis:No;False
race:black,sex:male,diabetes:Yes,endstage:55.00.renal.disease;-0.0003
race:black,sex:male,diabetes:Yes,chronic.kidney.disease:No;False
race:black,sex:male,diabetes:Yes,asthma:No;-0.0001
race:black,sex:male,diabetes:Yes,copd:No;-0.0001
race:black,sex:male,diabetes:Yes,dementia:No;0.0025
race:black,sex:male,diabetes:Yes,cancer:No;False
race:black,sex:male,coronary.artery.disease:No,chf:No;0.0054
race:black,sex:male,coronary.artery.disease:No,cerebrovascular.disease:No;-0.0003
race:black,sex:male,coronary.artery.disease:No,hepatitis:No;False
race:black,sex:male,coronary.artery.disease:No,endstage:55.00.renal.disease;0.0001
race:black,sex:male,coronary.artery.disease:No,chronic.kidney.disease:No;0.0007
race:black,sex:male,coronary.artery.disease:No,asthma:No;-0.0006
race:black,sex:male,coronary.artery.disease:No,copd:No;0.0008
race:black,sex:male,coronary.artery.disease:No,dementia:No;0.0014
race:black,sex:male,coronary.artery.disease:No,cancer:No;0.0018
race:black,sex:male,chf:No,cerebrovascular.disease:No;0.0002
race:black,sex:male,chf:No,hepatitis:No;0.0001
race:black,sex:male,chf:No,endstage:55.00.renal.disease;-0.0002
race:black,sex:male,chf:No,chronic.kidney.disease:No;-0.0004
race:black,sex:male,chf:No,asthma:No;False
race:black,sex:male,chf:No,copd:No;-0.0004
race:black,sex:male,chf:No,dementia:No;0.0003
race:black,sex:male,chf:No,cancer:No;0.0006
race:black,sex:male,cerebrovascular.disease:No,hepatitis:No;False
race:black,sex:male,cerebrovascular.disease:No,endstage:55.00.renal.disease;0.0001
race:black,sex:male,cerebrovascular.disease:No,chronic.kidney.disease:No;0.0001
race:black,sex:male,cerebrovascular.disease:No,asthma:No;-0.0001
race:black,sex:male,cerebrovascular.disease:No,copd:No;False
race:black,sex:male,cerebrovascular.disease:No,dementia:No;-0.0001
race:black,sex:male,cerebrovascular.disease:No,cancer:No;False
race:black,sex:male,hepatitis:No,endstage:55.00.renal.disease;False
race:black,sex:male,hepatitis:No,chronic.kidney.disease:No;False
race:black,sex:male,hepatitis:No,asthma:No;False
race:black,sex:male,hepatitis:No,copd:No;False
race:black,sex:male,hepatitis:No,dementia:No;False
race:black,sex:male,hepatitis:No,cancer:No;0.0001
race:black,sex:male,endstage:55.00.renal.disease,chronic.kidney.disease:No;-0.0001
race:black,sex:male,endstage:55.00.renal.disease,asthma:No;False
race:black,sex:male,endstage:55.00.renal.disease,copd:No;False
race:black,sex:male,endstage:55.00.renal.disease,dementia:No;False
race:black,sex:male,endstage:55.00.renal.disease,cancer:No;False
race:black,sex:male,chronic.kidney.disease:No,asthma:No;-0.0001
race:black,sex:male,chronic.kidney.disease:No,copd:No;False
race:black,sex:male,chronic.kidney.disease:No,dementia:No;-0.0002
race:black,sex:male,chronic.kidney.disease:No,cancer:No;-0.0002
race:black,sex:male,asthma:No,copd:No;-0.0004
race:black,sex:male,asthma:No,dementia:No;-0.0002
race:black,sex:male,asthma:No,cancer:No;-0.0002
race:black,sex:male,copd:No,dementia:No;False
race:black,sex:male,copd:No,cancer:No;-0.0002
race:black,sex:male,dementia:No,cancer:No;-0.0002
race:black,hypertension:Yes,hyperlipidemia:No,diabetes:Yes;-0.0043
race:black,hypertension:Yes,hyperlipidemia:No,coronary.artery.disease:No;0.0007
race:black,hypertension:Yes,hyperlipidemia:No,chf:No;False
race:black,hypertension:Yes,hyperlipidemia:No,cerebrovascular.disease:No;0.0001
race:black,hypertension:Yes,hyperlipidemia:No,hepatitis:No;False
race:black,hypertension:Yes,hyperlipidemia:No,endstage:55.00.renal.disease;-0.0001
race:black,hypertension:Yes,hyperlipidemia:No,chronic.kidney.disease:No;False
race:black,hypertension:Yes,hyperlipidemia:No,asthma:No;-0.0001
race:black,hypertension:Yes,hyperlipidemia:No,copd:No;-0.0001
race:black,hypertension:Yes,hyperlipidemia:No,dementia:No;-0.0001
race:black,hypertension:Yes,hyperlipidemia:No,cancer:No;False
race:black,hypertension:Yes,diabetes:Yes,coronary.artery.disease:No;0.0054
race:black,hypertension:Yes,diabetes:Yes,chf:No;-0.0047
race:black,hypertension:Yes,diabetes:Yes,cerebrovascular.disease:No;-0.0002
race:black,hypertension:Yes,diabetes:Yes,hepatitis:No;0.0004
race:black,hypertension:Yes,diabetes:Yes,endstage:55.00.renal.disease;-0.0015
race:black,hypertension:Yes,diabetes:Yes,chronic.kidney.disease:No;-0.0002
race:black,hypertension:Yes,diabetes:Yes,asthma:No;-0.0022
race:black,hypertension:Yes,diabetes:Yes,copd:No;0.0002
race:black,hypertension:Yes,diabetes:Yes,dementia:No;-0.0009
race:black,hypertension:Yes,diabetes:Yes,cancer:No;-0.0015
race:black,hypertension:Yes,coronary.artery.disease:No,chf:No;0.0013
race:black,hypertension:Yes,coronary.artery.disease:No,cerebrovascular.disease:No;0.0007
race:black,hypertension:Yes,coronary.artery.disease:No,hepatitis:No;False
race:black,hypertension:Yes,coronary.artery.disease:No,endstage:55.00.renal.disease;-0.0004
race:black,hypertension:Yes,coronary.artery.disease:No,chronic.kidney.disease:No;0.0002
race:black,hypertension:Yes,coronary.artery.disease:No,asthma:No;0.0007
race:black,hypertension:Yes,coronary.artery.disease:No,copd:No;0.0006
race:black,hypertension:Yes,coronary.artery.disease:No,dementia:No;False
race:black,hypertension:Yes,coronary.artery.disease:No,cancer:No;0.0005
race:black,hypertension:Yes,chf:No,cerebrovascular.disease:No;-0.0001
race:black,hypertension:Yes,chf:No,hepatitis:No;False
race:black,hypertension:Yes,chf:No,endstage:55.00.renal.disease;-0.0003
race:black,hypertension:Yes,chf:No,chronic.kidney.disease:No;-0.0003
race:black,hypertension:Yes,chf:No,asthma:No;-0.0001
race:black,hypertension:Yes,chf:No,copd:No;0.0003
race:black,hypertension:Yes,chf:No,dementia:No;0.0003
race:black,hypertension:Yes,chf:No,cancer:No;-0.0007
race:black,hypertension:Yes,cerebrovascular.disease:No,hepatitis:No;False
race:black,hypertension:Yes,cerebrovascular.disease:No,endstage:55.00.renal.disease;False
race:black,hypertension:Yes,cerebrovascular.disease:No,chronic.kidney.disease:No;False
race:black,hypertension:Yes,cerebrovascular.disease:No,asthma:No;0.0001
race:black,hypertension:Yes,cerebrovascular.disease:No,copd:No;0.0001
race:black,hypertension:Yes,cerebrovascular.disease:No,dementia:No;-0.0001
race:black,hypertension:Yes,cerebrovascular.disease:No,cancer:No;False
race:black,hypertension:Yes,hepatitis:No,endstage:55.00.renal.disease;-0.0001
race:black,hypertension:Yes,hepatitis:No,chronic.kidney.disease:No;False
race:black,hypertension:Yes,hepatitis:No,asthma:No;False
race:black,hypertension:Yes,hepatitis:No,copd:No;False
race:black,hypertension:Yes,hepatitis:No,dementia:No;False
race:black,hypertension:Yes,hepatitis:No,cancer:No;False
race:black,hypertension:Yes,endstage:55.00.renal.disease,chronic.kidney.disease:No;-0.0001
race:black,hypertension:Yes,endstage:55.00.renal.disease,asthma:No;False
race:black,hypertension:Yes,endstage:55.00.renal.disease,copd:No;False
race:black,hypertension:Yes,endstage:55.00.renal.disease,dementia:No;False
race:black,hypertension:Yes,endstage:55.00.renal.disease,cancer:No;False
race:black,hypertension:Yes,chronic.kidney.disease:No,asthma:No;False
race:black,hypertension:Yes,chronic.kidney.disease:No,copd:No;-0.0001
race:black,hypertension:Yes,chronic.kidney.disease:No,dementia:No;False
race:black,hypertension:Yes,chronic.kidney.disease:No,cancer:No;False
race:black,hypertension:Yes,asthma:No,copd:No;0.0004
race:black,hypertension:Yes,asthma:No,dementia:No;False
race:black,hypertension:Yes,asthma:No,cancer:No;False
race:black,hypertension:Yes,copd:No,dementia:No;False
race:black,hypertension:Yes,copd:No,cancer:No;0.0001
race:black,hypertension:Yes,dementia:No,cancer:No;-0.0001
race:black,hyperlipidemia:No,diabetes:Yes,coronary.artery.disease:No;0.0028
race:black,hyperlipidemia:No,diabetes:Yes,chf:No;0.0017
race:black,hyperlipidemia:No,diabetes:Yes,cerebrovascular.disease:No;0.0012
race:black,hyperlipidemia:No,diabetes:Yes,hepatitis:No;False
race:black,hyperlipidemia:No,diabetes:Yes,endstage:55.00.renal.disease;-0.0002
race:black,hyperlipidemia:No,diabetes:Yes,chronic.kidney.disease:No;-0.0001
race:black,hyperlipidemia:No,diabetes:Yes,asthma:No;0.0003
race:black,hyperlipidemia:No,diabetes:Yes,copd:No;-0.0007
race:black,hyperlipidemia:No,diabetes:Yes,dementia:No;-0.0011
race:black,hyperlipidemia:No,diabetes:Yes,cancer:No;-0.0008
race:black,hyperlipidemia:No,coronary.artery.disease:No,chf:No;0.0035
race:black,hyperlipidemia:No,coronary.artery.disease:No,cerebrovascular.disease:No;0.0005
race:black,hyperlipidemia:No,coronary.artery.disease:No,hepatitis:No;False
race:black,hyperlipidemia:No,coronary.artery.disease:No,endstage:55.00.renal.disease;-0.0003
race:black,hyperlipidemia:No,coronary.artery.disease:No,chronic.kidney.disease:No;0.0005
race:black,hyperlipidemia:No,coronary.artery.disease:No,asthma:No;0.0008
race:black,hyperlipidemia:No,coronary.artery.disease:No,copd:No;-0.0002
race:black,hyperlipidemia:No,coronary.artery.disease:No,dementia:No;-0.0002
race:black,hyperlipidemia:No,coronary.artery.disease:No,cancer:No;-0.0007
race:black,hyperlipidemia:No,chf:No,cerebrovascular.disease:No;0.0005
race:black,hyperlipidemia:No,chf:No,hepatitis:No;False
race:black,hyperlipidemia:No,chf:No,endstage:55.00.renal.disease;0.0001
race:black,hyperlipidemia:No,chf:No,chronic.kidney.disease:No;-0.0007
race:black,hyperlipidemia:No,chf:No,asthma:No;0.0005
race:black,hyperlipidemia:No,chf:No,copd:No;False
race:black,hyperlipidemia:No,chf:No,dementia:No;0.0004
race:black,hyperlipidemia:No,chf:No,cancer:No;0.0002
race:black,hyperlipidemia:No,cerebrovascular.disease:No,hepatitis:No;False
race:black,hyperlipidemia:No,cerebrovascular.disease:No,endstage:55.00.renal.disease;False
race:black,hyperlipidemia:No,cerebrovascular.disease:No,chronic.kidney.disease:No;-0.0001
race:black,hyperlipidemia:No,cerebrovascular.disease:No,asthma:No;False
race:black,hyperlipidemia:No,cerebrovascular.disease:No,copd:No;-0.0001
race:black,hyperlipidemia:No,cerebrovascular.disease:No,dementia:No;False
race:black,hyperlipidemia:No,cerebrovascular.disease:No,cancer:No;False
race:black,hyperlipidemia:No,hepatitis:No,endstage:55.00.renal.disease;False
race:black,hyperlipidemia:No,hepatitis:No,chronic.kidney.disease:No;False
race:black,hyperlipidemia:No,hepatitis:No,asthma:No;False
race:black,hyperlipidemia:No,hepatitis:No,copd:No;False
race:black,hyperlipidemia:No,hepatitis:No,dementia:No;False
race:black,hyperlipidemia:No,hepatitis:No,cancer:No;False
race:black,hyperlipidemia:No,endstage:55.00.renal.disease,chronic.kidney.disease:No;-0.0001
race:black,hyperlipidemia:No,endstage:55.00.renal.disease,asthma:No;False
race:black,hyperlipidemia:No,endstage:55.00.renal.disease,copd:No;-0.0001
race:black,hyperlipidemia:No,endstage:55.00.renal.disease,dementia:No;False
